index,authors,description,genre,highlights,images,name
10,"Robert Michael Ballantyne,","Purchase of this book includes free trial access to www.million-books.com where you can read more than a million books for free. This is an OCR edition with typos. Excerpt from book: CHAPTER IV. INTRODUCES THE READER TO THR PIRATE CITY, AND TO A FEW OK ITS PECULIARITIES AND PRACTICES. Pebmit us now, good reader, to introduce you to the top of a house in Algiers. The roofs of the houses in the Pirate City are flat—a most admirable Eastern peculiarity which cannot be too strongly recommended to Western builders. They are, therefore, available as pleasant "" terraces,"" on which you may rise above your cares, to lounge, and smoke—if afflicted with the latter mania—and sip coffee with your wife (wives, if you be a Turk), or romp with your children—if not too dignified—or cultivate flowers, or read in a state of elevated serenity, or admire the magnificent view of the blue bay, backed by the bluer Jurjura mountains, with the snow- topped range of the Lesser Atlas beyond. How much wiser thus to utilize one's house-top than to yield it up, rent-free, to cats and sparrows ! Achmet Pasha, the Dey of Algiers at this time, or rather the pirate-kins, had a thorough appreciation of the roof of his palace, and spent many hours daily on it in consultation with his ministers, or in converse with his wives. As deys went, Achmet was a comparatively respectable man. He thought no more of cutting off a human head than of docking a rat's tail; hut then he did not take a particular pleasure in this employment, and was not naturally cruel, which is more than could be said of many of his predecessors. He was also said to be a kind husband and a fond father, but as no one, save the wives and children in question, knew anything of the inner and private life of the palace, this must for ever remain a matter of uncertainty. There was no doubt, however, that he was a tall, handsome, dignified man, in the prime of life, with a stern eye and a pleasant expression of mouth ; that, ...",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: Cambridge Scholars Publishing,ISBN: 9780217761956, 021776195X,Edition: 2009,Pages: 202,","rukminim1.flixcart.com/image/128/128/book/9/5/6/the-pirate-city-original-imaeajvebzghqe2h.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/9/5/6/the-pirate-city-original-imae6hxvnpds6nez.jpeg?q=70
","The Pirate City(English, Paperback, Robert Michael Ballantyne)"
11,"G. A. Henty,","Excerpt: ...spices, it would be hard indeed if one could not turn out a good meal. And then, senors, you always come to eat it with a good appetite, which is all in favour of the cook. Yes, I grant that you have had all those advantages, Maria, but it is not everybody who makes the best of them. I can safely say that since we started we have never sat down to a bad breakfast or dinner. Now, for a bit, we are going to lead a different sort of life. We shall be on beaten tracks. We shall meet lots of people. It is strange to think that, except for those peasant muleteers we met at the foot of the pass by the Tinta volcano, we have not seen a soul except the savages-who have souls, I suppose-since we left Paucartambo more than six months ago; and yet somehow we do not seem to have missed them. I wonder what we shall find when we get up to Cerro, and who will be president then. I wonder what they are doing in Europe Bertie said. We have heard no later news than what we had when we went on board a ship sixteen months ago. There may have been great wars all over Europe. I don't think there is much chance of that, Bertie. India was the only place where there was any fighting going on, and it seemed as if, since Napoleon was crushed, Europe would become permanently pacific. Still, I do hope that when we are at Lima we shall get hold of a pile of English newspapers. The consul is sure to have them. I don't suppose we shall want to stay there many days, Harry, for we shall be eager to start the search for the enchanted castle Dias has told us of. We saw quite enough of Lima during the ten days that we were there. Is the pass a bad one up to Cerro, Dias? There are some very bad points, senor. It never was a good one, but as nothing has been done to the roads for at least a hundred years, it must have got into a very bad state. I have been down it twice with travellers, the second time ten years ago, and it was bad enough then. It is likely to be worse...",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: Rarebooksclub.com,ISBN: 9781153723961, 1153723964,Edition: 2010,Pages: 204,",https://rukminim1.flixcart.com/image/832/832/book/9/6/1/the-treasure-of-the-incas-original-imadmggp2hsk8bvd.jpeg?q=70,"The Treasure of the Incas(English, Paperback, G. A. Henty)"
12,"Elizabeth Stuart Phelps,","This is a reproduction of a book published before 1923. This book may have occasional imperfectionssuch as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed worksworldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.++++The below data was compiled from various identification fields in the bibliographic record of this title. This data is provided as an additional tool in helping to ensure edition identification: ++++ Gypsy Breynton Elizabeth Stuart Phelps Dodd, Mead, 1876 History; General; History / General; Literary Criticism / Children's Literature; Sports & Recreation / Outdoor Skills",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: Nabu Press,ISBN: 9781173881856, 1173881859,Edition: 2011,Pages: 290,","rukminim1.flixcart.com/image/128/128/book/8/5/6/gypsy-breynton-original-imaeajssm5rjkh5j.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/8/5/6/gypsy-breynton-original-imae86hyf4hkntzv.jpeg?q=70
","Gypsy Breynton(English, Paperback, Elizabeth Stuart Phelps)"
13,"Ernest Thompson Seton,","Excerpt: ...about the truth of a true story, if it be long enough, and this true story, presented in its nakedness to the shrewd and kindly old hunter, trader, mill-owner and magistrate, could have only one effect. Sonny, he said, slowly and kindly, I know that ye have told me the truth. I believe every word of it. We all know that Hoag is the meanest cuss and biggest liar on the river. He's a nuisance, and always was. He only promised to give ye the canoe and the rifle, and since he don't want to, we can't help it. About the trouble in the woods, you got two witnesses to his one, and ye got the furs and the traps; it's just as well ye left the other furs behind, or ye might have had to divide 'em; so keep them and call the hull thing square. We'll find ye a canoe to get out of this gay metropolis, and as to Hoag, ye needn't a-worry; his travelling days is done. A man with a bundle of high-class furs is a man of means in any frontier town. The magistrate was trader, too, so they set about disposing of their furs and buying the supplies they needed. The day was nearly done before their new canoe was gummed and ready with the new supplies. When dealing, old Sylvanne had a mild, quiet manner, and a peculiar way of making funny remarks that led some to imagine he was easy in business; but it was usual to find at the end that he had lost nothing by his manners, and rival traders shunned an encounter with Long Sylvanne of the unruffled brow. When business was done",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: Cambridge Scholars Publishing,ISBN: 9781153684682, 1153684683,Edition: 2010,Pages: 178,",https://rukminim1.flixcart.com/image/832/832/book/6/8/2/rolf-in-the-woods-original-imadmggyapsp6ah5.jpeg?q=70,"Rolf in the Woods(English, Paperback, Ernest Thompson Seton)"
14,"Dumas Alexandre Dumas,","Purchase of this book includes free trial access to www.million-books.com where you can read more than a million books for free. This is an OCR edition with typos. Excerpt from book: CHAPTER IIL THE BREAKFAST. The count was, it may bo remembered, a most temperate guest. Albert remarked this, expressing his fears lest at the outset the Parisian mode of life should displease the traveller in the most essential point. "" My dear count,"" said he, "" I fear that the fare of the Hue du Holder is not so much to your taste as that of the Place d'Espagne. 1 ought to have consulted you on the point, and have had some dishes prepared expressly to suit your taste."" "" Did you know me better,"" returned the count, smiling, "" you would not give one thought of such a thing for a traveller like myself, who has successively lived on macaroni at Naples, polenta at Milan, olla podrida at Valencia, pilau at Constantinople, karrick in India, and swallows' nests in China. I eat everywhere, and of everything, only I eat but little; and this day, on which you reproach me for abstinence, is my day of appetite, for I have not eaten since yesterday morning."" "" What! "" cried all the guests, "" you have not eaten for four and twenty hours 1"" "" No,"" replied the count; "" I was forced to go out of my road to obtain some information near Nimes, so that I was somewhat late, and I did not choose to stop.' "" And you ate in your carriage ? "" asked Morcerf. "" No; I slept, as I generally do when I am wearywithout having the courage to amuse myself, or when I am hungry withoit feeling inclined to eat."" "" But you can sleep when you please, Monsieur 1"" said Morrel. "" Very nearly."" "" You have a receipt for that 1"" ""An infallible one."" "" That would be invaluable to us in Africa, who have not always food to eat, and rarely anything to drink."" "" Yes,"" said Monte Cristo; "" but unfortunately my receipt, excellent for a man like myself, who leads an exceptional life, wo...",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: General Books,ISBN: 9781458867070, 1458867072,",https://rukminim1.flixcart.com/image/832/832/book/0/7/0/the-count-of-monte-cristo-original-imaeajrm8cggkybk.jpeg?q=70,"The Count of Monte Cristo(English, Paperback, Dumas Alexandre Dumas)"
15,"Anderson Kenneth,","1. THE BLACK PANTHER OF SIVANIPALLI The author, more famous for hunting man-eating tigers, finds in a wily panther a real challenger to his hunting acumen.2. THE TIGER ROARSHailed as the best of all of Anderson's books, the celebrated author reminisces about the man-eating tigers he had tracked down, a ferocious panther fond of human blood, the aging elephant meeting a sad end, and his own adventurous hours spent in the primeval jungles of India.3. JUNGLES LONG AGOTaking a holiday from big game hunting, Anderson lovingly reminisces about his exciting days and star-lit nights spent amidst the simple folks inhabiting the fringes of dark forests.Kenneth Anderson (1910-74) hailed from a Scottish family settled in India for six generations. His love for the denizens of Indian jungle led him to big game hunting and eventually to writing real-life adventure stories. His books are hailed as classics of jungle lore.",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: RUPA,ISBN: 9788171674565, 8171674569,Edition: 01, 2000,Pages: 412,","rukminim1.flixcart.com/image/128/128/book/5/6/5/the-kenneth-anderson-vol-2-original-imae2kzyp9zas5u5.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/5/6/5/the-kenneth-anderson-vol-2-original-imaeap3gycbzhawx.jpeg?q=70
","The Kenneth Anderson Vol.2(English, Paperback, Anderson Kenneth)"
16,"H. Rider Haggard,Henry Rider Haggard,","Excerpt: ...whose blood is the most royal in the whole world, without the consent of the great king of Israel, his grandfather, should wed the daughter of a Phoenician officer, however beautiful and loving she may be. Also I love yonder city, which I have known for forty years, and would not see it plunged in a bloody war and perhaps destroyed because a certain man desires to call a certain girl his sweetheart. And now if I succeed in this, what will you give me? Ithobal named a great sum. King, replied Metem, you must double it, for that amount you speak of I shall be forced to spend in bribes. More; you must give me the gold now, before I leave your camp, or I will do nothing. That you may steal it",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: Cambridge Scholars Publishing,ISBN: 9781443209205, 1443209201,Edition: 2010,Pages: 96,",https://rukminim1.flixcart.com/image/832/832/book/2/0/5/elissa-original-imadmgfkmrdgzgaw.jpeg?q=70,"Elissa(English, Paperback, Henry Rider Haggard, H. Rider Haggard)"
17,"Parinda Joshi,","One man. One team. One game. Or not? 

A shark at a consulting firm smells blood and circles in for the kill. His name: Vivek Grewal. His mission: to orchestrate an acquisition nobody saw coming. His target: a faltering IGL team. An introverted, idealistic employee with a no-nonsense attitude finds herself in troubled waters. Her name: Keya Singhal. Her desire: to fight for what is rightfully hers. Her aggressor: Vivek Grewal.

Adding to the mix are two powerhouses: a billionaire investor and the IGL teams captain.What happens when their worlds collide? Are things the way they seem to be or is there something sinister underfoot? From the author of Live from London comes this heady cocktail of raw ambition, unwavering ideals, vengeful betrayal, consuming love, and notorious scandals.

Once the lights go out in the stadium, which game kicks off behind the scenes? Amidst the corporate drama and a rickety romance, who will stand to lose it all and who will emerge unbeaten?

Highlights
A gripping corporate thriller set on the backdrop of IGL.
Witty and easy to understand.
Has Romance and action in equal measure. A complete entertainer.

""Powerplay takes you on a journey of intrigue, passion, and ambition. Who would have thought the drive to acquire a cricket team can be as riveting unputdownable""Gaurav Kalra, CNN-IBN Sports Editor

""Witty, sinister, gripping. Powerplay is a complete entertainer""Ravi Subramanian, Best-Selling author, Crossword Book Award Winner",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: FINGERPRINT,ISBN: 9788172344573, 8172344570,Edition: 2013,",https://rukminim1.flixcart.com/image/832/832/book/5/7/3/power-play-the-game-is-on-original-imadkv39ahhkpt9h.jpeg?q=70,"Powerplay: The Game Is On(English, Paperback, Parinda Joshi)"
18,"Arthur Conan Doyle,","Excerpt: ...of ten candles upon the centre table. The fire was already burning up, crackling merrily, and sending spurts of blue, pungent smoke into the room. The captain walked to the window and looked out. The moon had gone in again, and it was raining heavily. He could hear the deep sough of the wind, and see the dark loom of the trees, all swaying in the one direction. It was a sight which gave a zest to his comfortable quarters, and to the cold fowl and the bottle of wine which the butler had brought up for him. He was tired and hungry after his long tramp, so he threw his sword, his helmet, and his revolver-belt down upon a chair, and fell to eagerly upon his supper. Then, with his glass of wine before him and his cigar between his lips, he tilted his chair back and looked about him. He sat within a small circle of brilliant light which gleamed upon his silver shoulder-straps, and threw out his terra-cotta face, his heavy eyebrows, and his yellow moustache. But outside that circle things were vague and shadowy in the old dining-hall. Two sides were oak-panelled and two were hung with faded tapestry, across which huntsmen and dogs and stags were still dimly streaming. Above the fireplace were rows of heraldic shields with the blazonings of the family and of its alliances, the fatal saltire cross breaking out on each of them. Four paintings of old seigneurs of Chateau Noir faced the fireplace, all men with hawk noses and bold, high features, so like each other that only the dress could distinguish the Crusader from the Cavalier of the Fronde. Captain Baumgarten, heavy with his repast, lay back in his chair looking up at them through the clouds of his tobacco smoke, and pondering over the strange chance which had sent him, a man from the Baltic coast, to eat his supper in the ancestral hall of these proud Norman chieftains. But the fire was hot, and the captain's eyes were heavy. His chin sank slowly upon his chest, and the ten candles gleamed upon the...",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: Rarebooksclub.com,ISBN: 9781153704885, 1153704889,Edition: 2010,Pages: 134,",https://rukminim1.flixcart.com/image/832/832/book/8/8/5/the-green-flag-original-imadmgcymmhfauhj.jpeg?q=70,"The Green Flag(English, Paperback, Arthur Conan Doyle)"
19,"Sir Edmund Hillary,","
The authoritative first-person account of Hillary and Tenzing’s ascent of Mount Everest, reissued on the 60th anniversary of this landmark achievement.
 
	In 1953, when he was thirty-three years old, Edmund Hillary became the first man to stand at the summit of Mount Everest, the Holy Grail for a generation of mountain climbers who had tried and failed to reach the highest point on earth (29,035 feet). High Adventure is Hillary’s definitive and wonderfully entertaining memoir of his Himalayan quest, beginning with the 1951 expedition that discovered a possible route up the south slope of Everest, and culminating in the successful expedition of 1953 led by Sir John Hunt. Hillary’s memoir takes us step-by step up the slopes of Everest, describing vividly and in great detail the agonizing climb that he and Tenzing Norgay embarked upon, the perils they faced, and the dramatic final ascent that forever secured them a place of honour in the annals of human exploration.
 
	High Adventure is a mountaineering classic, to be sure. But it is also a thrilling and inspiring story of courage and endurance – a story that will captivate a new generation of readers on the 60th anniversary of Hillary’s extraordinary achievement.

About the author
Sir Edmund Hillary (1919-2008) was born in New Zealand, and served in the New Zealand Air Force in World War II. He was a participant in the 1951 and 1952 Everest expeditions, and on 29 May 1953, he and the Nepalese mountaineer Tenzing Norgay became the first men to reach the summit of Mount Everest. After being knighted following the ascent, he achieved many more adventuring ‘firsts’ in surroundings as varied as the Antarctica and the Ganges. He established the Himalayan Trust, an organization devoted to improving the lives of the Himalayan people, which has built schools, hospitals and infrastructure for the isolated mountain communities. Hillary died of heart failure on 11 January 2008 at the Auckland City Hospital.
",Action and Adventure Books,"Language: English,Binding: Paperback,Publisher: Roli Books,ISBN: 9788174369390, 8174369392,Edition: 60th, 2013,Pages: 272,","rukminim1.flixcart.com/image/128/128/book/3/9/0/high-adventure-original-imadhhpkfpjczrry.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/3/9/0/high-adventure-original-imadm4n7x8vtmzmh.jpeg?q=70
","High Adventure : Our Ascent of the Everest(English, Paperback, Sir Edmund Hillary)"
