index,authors,description,genre,highlights,images,name
10,"Osho,","
The Book of Secrets, by Osho, is a guide on 112 ways of meditation that help in understanding the mystery within.

Summary of the Book

	Explore different methods of meditation with this manual by Osho that explains the science behind the ancient secret that leads to self-awareness. 112 techniques of meditation are included in this book, with detailed text focussing on consciousness of the precious present moment. Tantra, as a set of techniques that enrich sensual knowledge is also discussed by the Guru. Questions related to each procedure are included in the book, along with extra hints. The book is widely read in both Eastern and Western countries, by Osho’s ardent fans.

About Osho

	Chandra Mohan Jain, also known as Acharya Rajneesh, Bhagwan Shree Rajneesh, and later as Osho, was an Indian spiritual guru, mystic and new age philosopher. He is best remembered for his widely controversial teachings and his ashram, which is currently located in Pune and known as the Osho International Meditation Resort. Osho has penned several books and his autobiography is called An Autobiography of a Spiritually Incorrect Mystic. Some of the other books written by Osho are The Book of Secrets, Sex Matters, And the Flowers Showered, No Water, No Moon, and Tao: The Pathless Path.
",Philosophy,"Language: English,Binding: Hardcover,Publisher: St Martin's Press,ISBN: 9780312650605, 0312650604,Edition: Har/DVD Re, 2010,Pages: 1310,","rukminim1.flixcart.com/image/128/128/book/6/0/5/book-of-secrets-original-imaeaebjgzgkzanp.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/6/0/5/book-of-secrets-original-imae6qj4f3zxgyfb.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/6/0/5/the-book-of-secrets-with-dvd-original-imadwpv3pmgju9bc.jpeg?q=70
","Book of Secrets, The(English, Hardcover, Osho)"
11,"Radhakrishnan, S.,","
Hindu View Of Life is a comprehensive look into the depths of Hinduism. It examines the origin, belief systems, rituals, and many other aspects of this religion. Presented in the form of four lectures, this book is very informative and engaging.

Summary Of The Book

Hindu View Of Life, originally published in 1926, introduces readers to the ways of Hindu life, rituals, beliefs, and customs.

	India is a very diverse country filled with a wide range of religions. Hinduism may seem one of the most confusing because of the thousands of gods and goddesses that are worshipped in their various forms. It also has myths and superstitions attached to it. The author takes readers into the depth of Hinduism, and showcases the unifying beliefs that exist amongst all ordinary men and women.

Hindu View Of Life is divided into four lessons. The first is titled Religious Expressions: Its Nature And Content. It says that the word Hindu came into existence as the founders lived on the banks of River Indus, and invaders from other countries started calling them Hindus. The author also says that Hindus should not confine themselves into building temples and performing rites. Instead, all of Hinduism should strive to reach higher spiritual plane. Lecture two is Conflict Of Religions: The Hindu Attitude, and it says that Hinduism is a religion that has accepted all kinds of gods. It doesn’t believe in converting individuals, and lays emphasis on the fact that conduct is more important that belief. The next two lectures are Hindu Dharma I and II. 

Hindu View Of Life uncovers the complexities of this religion. It shows that there is so much more to Hinduism that what is expressed by Indians on a daily basis. Infact, Radhakrishnan says that Hindu families irrespective of their differences in rituals, customs, and rites, are all guided by certain common beliefs. This book is very informative, and takes readers into the deepest aspects of one of the oldest religions of the world.

About S. Radhakrishnan

	Sarvepalli Radhakrishnan was born on the 5th of September, 1888.

	Some books written by Radhakrishnan are Indian Philosophy, An Idealist View of Life, Eastern Religions And Western Thought, The Dhammapada, and Recovery Of Faith. 

	The author is a recipient of India’s highest civilian honour, the Bharat Ratna. He was also awarded British Knighthood and the Order of Merit. However, after India’s Independence from the British, he stopped using the title “Sir”.

	He was an Indian philosopher, statesman, and teacher. His birthday is celebrated as Teacher’s Day in India. He graduated from Madras Christian College with a master’s degree in Philosophy. After India’s Independence, the author represented the nation at UNESCO from 1946 to 1952. He then became India’s first Vice-President, and later became the President of India. Radhakrishnan passed away in 1975.
",Philosophy,"Language: English,Binding: Paperback,Publisher: Harper Collins Publishers,ISBN: 9788172238452, 8172238452,","rukminim1.flixcart.com/image/128/128/j0r0rrk0/book/4/5/2/hindu-view-of-life-original-imaesbtawz8ygmuz.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/4/5/2/the-hindu-view-of-life-original-imaefxwzzstywh6p.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/4/5/2/hindu-view-of-life-original-imadffr3rznd8drf.jpeg?q=70
","HINDU VIEW OF LIFE(English, Paperback, Radhakrishnan, S.)"
12,"Idries Shah,","The Way of the Sufi is perhaps Idries SHah's best known work. An enjoyable introduction to the subject, it includes brief portraits of well-known Islamic figures he believed to be Sufi masters, including Ghazzali of Persia, Omar Khayyam of Rubaiyat fame, Attar of Nishapur (Author of Conference of the Birds ), Ibn El-Arabi of Spain, Saadi of Shiraz (Author of The Rose Garden), Hakim Sanai and Jalaludin Rumi (author of the famous Masnavi, or Couplets of Inner Meaning). The four main Sufi orders, including the Chishti, Qadiri, Suhrawardi and Naqshbandi, are also described.The work's real power, however, is an anthology of hundreds of Sufi or dervish tales, riddles and sayings which could take a lifetime to fully appreciate and understand.About the AuthorIdries Shah was an author and teacher in the Sufi tradition who wrote over three dozen books on topics ranging from psychology and spirituality to travelogues and culture studies. In his writings, Shah presented Sufism as a universal form of wisdom that predated Islam. Emphasizing that Sufism was not static but always adapted itself to the current time, place and people, he framed his teaching in Western psychological terms. Shah made extensive use of traditional teaching stories and parables, texts that contained multiple layers of meaning designed to trigger insight and self-reflection in the reader. He is perhaps best known for his collections of humorous Mulla Nasrudin stories.",Philosophy,"Language: English,Binding: Paperback,Publisher: Amaryllis,ISBN: 9789381506608, 9381506604,Edition: 1st Edition, 2014,Pages: 288,",https://rukminim1.flixcart.com/image/832/832/book/6/0/8/the-way-of-the-sufi-original-imae2tpmj84ruw4t.jpeg?q=70,"The Way of the Sufi(English, Paperback, Idries Shah)"
13,"Nassim Nicholas Taleb,","
	Elegant, startling, and universal in its applications, The Black Swan is a concept that will change the way you look at the world. Black Swans underlie almost everything, from the rise of religions, to events in our own personal lives. A Black Swan is a highly improbable event with three principle characteristics: it is unpredictable; it carries a massive impact; and, after the fact, we concoct an explanation that makes it appear less random and more predictable than it was. The astonishing success of Google was a black swan so was 9/11. And why do we always ignore the phenomenon of Black Swans until after they occur? As Nassim Nicholas Taleb reveals, we are hard-wired not to truly estimate risk, too vulnerable to the impulse to simplify, narrate, and categorize and not open enough to rewarding those who can imagine the ‘impossible’. In this revelatory book, Taleb explains everything we know about what we don’t know, and shows us how to face the world.
",Philosophy,"Language: English,Binding: Paperback,Publisher: Penguin Books Ltd,ISBN: 9780141034591, 0141034599,","rukminim1.flixcart.com/image/128/128/j27w2a80/book/5/9/1/black-swan-the-the-impact-of-the-high-original-imaetmcnmtdhcdh4.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/5/9/1/black-swan-the-the-impact-of-the-high-original-imaesbnhzgfwyp8j.jpeg?q=70
","Black Swan, The : The Impact of the High(English, Paperback, Nassim Nicholas Taleb)"
14,"M. Scott Peck,","
Confronting and solving problems is a painful process which most of us attempt to avoid. And the very avoidance results in greater pain and an inability to grow both mentally and spiritually. Drawing heavily on his own professional experience, Dr M. Scott Peck, a practising psychiatrist, suggests ways in which facing our difficulties - and suffering through the changes - can enable us to reach a higher level of self-understanding. He discusses the nature of loving relation-ships: how to recognize true compatibility; how to distinguish dependency from love; how to become one's own person and how to be a more sensitive parent.
",Philosophy,"Binding: Paperback,Publisher: Random House,ISBN: 9780099727408, 0099727404,Edition: 1996,","rukminim1.flixcart.com/image/128/128/book/4/0/8/the-road-less-travelled-original-imae6jhnhzhwpwfm.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/4/0/8/road-less-travelled-original-imadxq2d7xbhggrs.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/4/0/8/the-road-less-travelled-original-imadjqjszj5gvxzk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/4/0/8/the-road-less-travelled-arrow-new-age-original-imad9g36hhnsmdsw.jpeg?q=70
","The Road Less Travelled(Paperback, M. Scott Peck)"
15,"Ph. D. Michael Newton,","
Journey of Souls, by Michael Newton, contains case studies of life between lives.

Summary of the Book

	The ground-breaking case studies in this book reveal the mystery of life in the spirit world, which follows after death on Earth. Using a special hypnosis method to reach the deeply laden memories of subjects, Dr. Newton asserts that consciousness survives even after death. Journey of Souls chronicles the experiences of 29 people who could recall their experiences between physical deaths. Their stories help readers begin to ponder upon a greater sense of purpose in life.

About Michael Newton

	Dr. Michael Newton is the Founder of The Newton Institute for Life between Lives Hypnotherapy. He holds a Ph.D. in Counseling Psychology. He frequently appears on various radio and TV shows. Dr. Newton has also compiled Destiny of Souls: New Case Studies of Life between Lives and Life between Lives Hypnotherapy.
",Philosophy,"Language: English,Binding: Paperback,Publisher: Jaico,ISBN: 9788184951059, 8184951051,",https://rukminim1.flixcart.com/image/832/832/book/0/5/9/journey-of-soul-case-studies-of-life-between-lives-original-imads6fg5wkagmjf.jpeg?q=70,"Journey of Soul: Case Studies of Life between Lives(English, Paperback, Ph. D. Michael Newton)"
16,"Ruskin Bond,","
Notes from a Small Room brings a collection of essays written by Ruskin Bond.

Summary of the Book

	This book celebrates the uncomplicated pleasures of a life well-lived. It explains how the simplest of the joys keeps us from going crazy. Bond explains how the smallest joyous moments move him immensely – the sound of a tropical downpour, the fragrance of the lime trees in the Himalayas, or even a year he spends with Suzie, his cat. The essays in this volume will take you on a quieter journey where time doesn’t move hastily. They will make you contemplate on the bigger questions, those that help you find the extraordinary in the mundane, the grandeur in the simplest of the things.

About Ruskin Bond

	Ruskin Bond was born in Himachal Pradesh, India. He is the recipient of the most honorary Indian awards like the Padma Shri, Padma Bhushan, and Sahitya Akademi Award among other honours. His contribution to children’s literature in India is specially recognized by the Indian Council for Child Education. His autobiography is Rain in the Mountains. Scenes from a Writer’s Life also talks about the young Ruskin. Some of his books are adapted as films and TV series, which have won awards. Garland of Memories, Rain in the Mountain-Notes from the Himalayas, A Face in the Dark and Other Hauntings, Vagrants in the Valley and Other Poems, and Once upon a Monsoon Time are some of his other works.
",Philosophy,"Language: English,Binding: Paperback,Publisher: Penguin Random House India,Genre: Non-Fiction,ISBN: 9780143067450, 0143067451,Edition: NA, 2017,Pages: 184,",https://rukminim1.flixcart.com/image/832/832/j6fcqkw0/book/4/5/0/notes-from-a-small-room-original-imaeww4ktbku2azv.jpeg?q=70,"Notes from a Small Room(English, Paperback, Ruskin Bond)"
17,"M. A. R. Habib,","
	In clear, concise, and elegant prose, the acclaimed literary scholar M. A. R. Habib introduces major critical movements, figures, and texts, while paying close attention to textual detail, broader historical context, and the interconnections between various theories. Beginning with Classical literary criticism, the author goes on to explore literary criticism from the Middle Ages through the Early Modern and Modern periods into the twentieth century, including in his treatment major historical phenomena such as the French Revolution and major philosophies and political theories such as those of Locke and Marx. Literary Criticism from Plato to the Present is an indispensable and intellectually stimulating introduction to the history of literary criticism and theory.

About the Author
	M. A. R. Habib received his doctorate from the University of Oxford. He is the author of seven books, including the highly acclaimed A History of Literary Criticism: From Plato to the Present (2005) and Modern Literary Criticism and Theory (2008). A book of his poetry, Shades of Islam: Poems for a New Century, will appear in September 2010.
",Philosophy,"Language: English,Binding: Paperback,Publisher: Wiley India,ISBN: 9788126535491, 8126535490,Edition: 2011,Pages: 312,",https://rukminim1.flixcart.com/image/832/832/book/4/9/1/literary-criticism-from-plato-to-the-present-an-introduction-original-imaddpwfjgnmuckz.jpeg?q=70,"Literary Criticism From Plato To The Present An Introduction(English, Paperback, M. A. R. Habib)"
18,"Sadhguru,","THERE ARE ONLY TWO TYPES OF PEOPLE: MYSTICS AND MISTAKES, says Sadhguru, leaving readers in no doubt of the category to which they belong! That sounds damning. But mistakes can thankfully be rectified. And thats the hope this book holds out to seekers. It reminds us that each one of us can make the journeyfrom confusion to clarity, from error to enlightenment, from self-deception to self-discoveryif only we choose.",Philosophy,"Language: English,Binding: Paperback,Publisher: Jaico,ISBN: 9788184953084, 8184953089,Edition: 1st Edition, 2012,Pages: 208,",https://rukminim1.flixcart.com/image/832/832/book/0/8/4/of-mystics-mistakes-original-imadbfhzfr97vkzy.jpeg?q=70,"Of Mystics & Mistakes 1st Edition(English, Paperback, Sadhguru)"
19,"ALFRED HUANG TAOIST MASTER,",As a native Chinese speaker Master Huang has imbued this I Ching with an accuracy and authenticity not achieved in other English translations. He also returns to prominence the Ten Wings the commentaries by Confucius that are essential to the I Ching's insights.,Philosophy,"Language: English,Binding: Paperback,Publisher: Inner Traditions,ISBN: 9781594773860, 1594773866,Edition: Revised Two-Color Edition, 2010,Pages: 541,","rukminim1.flixcart.com/image/128/128/book/8/6/0/complete-i-ching-original-imadjqafhbwhy8uk.jpeg?q=70
rukminim1.flixcart.com/image/128/128/book/8/6/0/complete-i-ching-original-imae8aetcz3snqwd.jpeg?q=70
","Complete I Ching(English, Paperback, ALFRED HUANG TAOIST MASTER)"
